"filename","category","tags"
"accessibility","System","assistance,assistant,impaired,a11y,wheelchair,inclusive,wcag"
"accessibility-sign","System","assistance,assistant,impaired,a11y,wheelchair,inclusive,wcag,signature,board,street,wayfinding"
"accessibility-tech","System","assistance,assistant,impaired,a11y,wheelchair,inclusive,wcag"
"activity","Other","pulse,fitness,exercise,chart,graph,workout,sport,steps"
"adobe-after-effects","Design Tools","creative,suite,design,layout,figma"
"adobe-illustrator","Design Tools","creative,suite,design,layout,figma"
"adobe-indesign","Design Tools","creative,suite,design,layout,figma"
"adobe-lightroom","Design Tools","creative,suite,design,layout,figma"
"adobe-photoshop","Design Tools","creative,suite,design,layout,figma"
"adobe-xd","Design Tools","creative,suite,design,layout,figma"
"african-tree","Nature","nature,plant,forest,green"
"agile","Business","scrum,sprint,methodology,team"
"air-conditioner","Home","ac,hvac,cooling,climate"
"airplane","Transport","fly,jet,plane,flight,travel,airline"
"airplane-helix","Transport","fly,jet,plane,flight,travel,airline"
"airplane-helix-45deg","Transport","fly,jet,plane,flight,travel,airline"
"airplane-off","Transport","fly,jet,plane,flight,travel,airline,disabled,inactive,muted,disconnected"
"airplane-rotation","Transport","fly,jet,plane,flight,travel,airline"
"airplay","Connectivity","cast,stream,apple,tv,screen mirror"
"alarm","Other","clock,wake,timer,morning,schedule"
"album","Music","photos,music,record,collection,gallery"
"album-carousel","Music","photos,music,record,collection,gallery"
"album-list","Music","photos,music,record,collection,gallery,bullet,menu,rows,items"
"album-open","Music","photos,music,record,collection,gallery,door,access,launch,expand"
"align-bottom-box","Design Tools","alignment,layout,text,edge"
"align-center","Editor","alignment,layout,text,edge"
"align-horizontal-centers","Design Tools","figma,design,center,layout,alignment,text,edge"
"align-horizontal-spacing","Design Tools","figma,design,alignment,layout,text,edge"
"align-justify","Editor","alignment,layout,text,edge"
"align-left","Editor","alignment,layout,text,edge"
"align-left-box","Design Tools","alignment,layout,text,edge"
"align-right","Editor","alignment,layout,text,edge"
"align-right-box","Design Tools","alignment,layout,text,edge"
"align-top-box","Design Tools","alignment,layout,text,edge"
"align-vertical-centers","Design Tools","figma,design,middle,layout,alignment,text,edge,portrait,column,upright"
"align-vertical-spacing","Design Tools","figma,design,alignment,layout,text,edge,portrait,column,upright"
"angle-tool","Tools","wrench,settings,build,repair"
"antenna","Connectivity","radio,signal,tower,broadcast,reception"
"antenna-off","Connectivity","radio,signal,tower,broadcast,reception,disabled,inactive,muted,disconnected"
"antenna-signal","Connectivity","radio,signal,tower,broadcast,reception"
"antenna-signal-tag","Connectivity","radio,signal,tower,broadcast,reception,label,badge,chip,price"
"app-notification","Communication","push,inbox,badge,alert,application,software,program"
"app-store","Social","apple,iphone,ios,application,software,program,shop,market,appstore,retail"
"app-window","System","desktop,gui,application,software,program"
"apple","Food","fruit,food,ios,mac"
"apple-half","Food","fruit,food,ios,mac"
"apple-imac-2021","Devices","fruit,food,ios,mac"
"apple-imac-2021-side","Devices","fruit,food,ios,mac"
"apple-mac","System","fruit,food,ios,mac,apple,keyboard,shortcut,osx"
"apple-shortcuts","System","fruit,food,ios,mac"
"apple-swift","Development","fruit,food,ios,mac"
"apple-wallet","Finance","fruit,food,ios,mac,money,cards,purse,finance"
"ar-tag","Devices","label,badge,chip,price"
"arc-3d","3D Editor","modeling,blender,4d,3d,mesh,render"
"arc-3d-center-point","3D Editor","modeling,blender,4d,3d,mesh,render,anchor,handle,node,bezier"
"arcade","Gaming","game,joystick,retro,coinop"
